W&B Run ID,W&B URL,Checkpoints Location,Tokens Reached,Notes
p067ktg9,https://wandb.ai/ai2-llm/olmo-medium/runs/p067ktg9,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish-final-tulu,"2,469,832,261,632",Continued training final checkpoint on a mix of Tulu V2 and Dolma while decaying the LR down to 0.
z4z0x4m9,https://wandb.ai/ai2-llm/olmo-medium/runs/z4z0x4m9,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish-final,"2,463,989,760,000",Continued training final checkpoint on Dolma while decaying the LR down to 0
wd2gxrza,https://wandb.ai/ai2-llm/olmo-medium/runs/wd2gxrza,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,460,508,323,840",
wrv46m83,https://wandb.ai/ai2-llm/olmo-medium/runs/wrv46m83,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,437,155,717,120",
67i5mdg0,https://wandb.ai/ai2-llm/olmo-medium/runs/67i5mdg0,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,353,105,797,120",
x23ciyv9,https://wandb.ai/ai2-llm/olmo-medium/runs/x23ciyv9,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,266,914,816,000",
uy2ydw12,https://wandb.ai/ai2-llm/olmo-medium/runs/uy2ydw12,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,216,927,232,000",
2l070ogq,https://wandb.ai/ai2-llm/olmo-medium/runs/2l070ogq,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,176,671,744,000",
xtruaap8,https://wandb.ai/ai2-llm/olmo-medium/runs/xtruaap8,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,175,565,824,000",
olocmvn0,https://wandb.ai/ai2-llm/olmo-medium/runs/olocmvn0,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,091,515,904,000",
x6zdcp5j,https://wandb.ai/ai2-llm/olmo-medium/runs/x6zdcp5j,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,087,684,997,120",
87shig0a,https://wandb.ai/ai2-llm/olmo-medium/runs/87shig0a,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"2,000,967,598,080",
ho7jy4ey,https://wandb.ai/ai2-llm/olmo-medium/runs/ho7jy4ey,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,912,843,468,800",
lds6zcog,https://wandb.ai/ai2-llm/olmo-medium/runs/lds6zcog,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,912,843,468,800",
11uf7gsv,https://wandb.ai/ai2-llm/olmo-medium/runs/11uf7gsv,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,901,890,437,120",
yv7lgx0i,https://wandb.ai/ai2-llm/olmo-medium/runs/yv7lgx0i,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,815,478,272,000",
x55jyv7k,https://wandb.ai/ai2-llm/olmo-medium/runs/x55jyv7k,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,733,458,821,120",
jcs4c32w,https://wandb.ai/ai2-llm/olmo-medium/runs/jcs4c32w,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,715,503,104,000",
4xel5n7e,https://wandb.ai/ai2-llm/olmo-medium/runs/4xel5n7e,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,632,045,957,120",
cojbrc1o,https://wandb.ai/ai2-llm/olmo-medium/runs/cojbrc1o,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,547,996,037,120",
eaqax5ns,https://wandb.ai/ai2-llm/olmo-medium/runs/eaqax5ns,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,463,946,117,120",
obde4w9j,https://wandb.ai/ai2-llm/olmo-medium/runs/obde4w9j,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,378,339,061,760",
25urleov,https://wandb.ai/ai2-llm/olmo-medium/runs/25urleov,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,326,812,037,120",
yuc5kl7s,https://wandb.ai/ai2-llm/olmo-medium/runs/yuc5kl7s,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,239,165,665,280",
jtfwv96r,https://wandb.ai/ai2-llm/olmo-medium/runs/jtfwv96r,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,151,041,536,000",
j18wauyq,https://wandb.ai/ai2-llm/olmo-medium/runs/j18wauyq,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"1,063,010,304,000",
fcn5q3zw,https://wandb.ai/ai2-llm/olmo-medium/runs/fcn5q3zw,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"976,748,544,000",
99euueq4,https://wandb.ai/ai2-llm/olmo-medium/runs/99euueq4,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"893,291,397,120",
lyij2l8m,https://wandb.ai/ai2-llm/olmo-medium/runs/lyij2l8m,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"809,241,477,120",
7gomworq,https://wandb.ai/ai2-llm/olmo-medium/runs/7gomworq,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"724,470,497,280",
eysi0t0y,https://wandb.ai/ai2-llm/olmo-medium/runs/eysi0t0y,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"636,346,368,000",
hrshlkzq,https://wandb.ai/ai2-llm/olmo-medium/runs/hrshlkzq,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"549,421,056,000",
5wkmhkqh,https://wandb.ai/ai2-llm/olmo-medium/runs/5wkmhkqh,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"463,380,480,000",
0j2eqydw,https://wandb.ai/ai2-llm/olmo-medium/runs/0j2eqydw,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"376,233,984,000",
49i87wpn,https://wandb.ai/ai2-llm/olmo-medium/runs/49i87wpn,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"370,744,197,120",
mk9kaqh0,https://wandb.ai/ai2-llm/olmo-medium/runs/mk9kaqh0,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"349,178,757,120",
8fioq3qx,https://wandb.ai/ai2-llm/olmo-medium/runs/8fioq3qx,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"265,420,800,000",
l6v218f4,https://wandb.ai/ai2-llm/olmo-medium/runs/l6v218f4,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"260,705,157,120",
uhy9bs35,https://wandb.ai/ai2-llm/olmo-medium/runs/uhy9bs35,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"176,655,237,120",
wvc30anm,https://wandb.ai/ai2-llm/olmo-medium/runs/wvc30anm,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish,"89,199,083,520",
